FishName,Fish Length (pixel),FishArea(pixel^2),SpineLength(pixel),SpineCurvature(degrees),MaximumAnteriorCurve(degrees),MaximumPosteriorCurve(degrees),AverageVertebraLength,StandardDeviationVertebraLength,AverageVertebraArea,StandardDeviationVertebraArea,AverageBMD,StandardDeviationBMD,AverageDiskHealth,StandardDeviationDiskHealth,Age Cohort,Group
I20200224201432.2.dcm,2083,2083,754490,1860,17.7,7.17,49.476,2.945,1114.375,113.406,6.579,3.413,2.274952799,2.77973613,Very Young,Wild Type
I20200224201432.4.dcm,2102,2102,848088,1843,15.19,0,48.164,2.584,1072,78.301,-2.517,4.191,-6.582465719,4.180471507,Very Young,Wild Type
I20200224201432.5.dcm,1640,1640,832707,1751,0,18.06,52.124,2.868,1173.7,130.637,-1.949,5.248,-6.434801357,4.847606949,Very Young,Wild Type
I20200224201432.6.dcm,2171,2171,754153,1869,24.95,0,54.264,4.504,1247.4,152.98,1.959,5.113,-2.826695062,4.492495992,Very Young,Wild Type
I20200224201432.8.dcm,1971,1971,729335,1800,16.17,0,55.243,6.515,1341.4,190.533,-0.78,4.381,-7.044795571,3.546786171,Young 2,3
I20200224201605.1.dcm,2225,2225,845824,1966,17.9,0,54.824,4.992,1282.7,116.151,6.542,5.827,1.78082028,5.590888738,Young 2,3
I20200224201605.2.dcm,3009,3009,1566106,2289,21.92,0,58.727,4.497,1767.4,186.703,23.299,6.477,14.56729206,4.778072238,Young 2,3
I20200224201605.4.dcm,2789,2789,1532258,2265,30.28,0,60.575,7.748,1751.3,164.745,17.955,7.28,13.14970747,6.664466436,Young 2,3
I20200224201605.5.dcm,3061,3061,1562009,2652,13.54,6.95,65.668,4.605,2034,243.809,23.881,5.362,12.31934468,6.898522008,Young 2,3
I20200224201605.6.dcm,2727,2727,1291267,2446,15.88,0,61.904,4.514,1823.9,208.149,19.207,6.43,10.41346492,8.742198301,Young 2,3
I20200224201730.1.dcm,2225,2225,847508,1934,15.76,0,56.862,5.701,1356.778,91.258,7.325,5.117,2.970053897,4.865852356,Young 2,3
I20200224201730.2.dcm,2908,2908,1607811,2691,15.4,0,66.277,6.063,2088.8,268.352,21.817,6.592,12.01374296,5.370209478,Young 2,3
